[Sat Aug 13 19:21:19.229099 2016] [authz_core:error] [pid 12839:tid 140254287746816] [client 127.0.0.1:38248] AH01630: client denied by server configuration: /home/oleg/www/test.dev/public_html/
[Sat Aug 13 19:21:19.389263 2016] [authz_core:error] [pid 12839:tid 140254279354112] [client 127.0.0.1:38248] AH01630: client denied by server configuration: /home/oleg/www/test.dev/public_html/favicon.ico
[Sat Aug 13 19:21:19.518281 2016] [authz_core:error] [pid 12839:tid 140254387603200] [client 127.0.0.1:38248] AH01630: client denied by server configuration: /home/oleg/www/test.dev/public_html/favicon.ico
[Thu Sep 01 12:16:57.251947 2016] [:error] [pid 6475] [client 127.0.0.1:35290] PHP Parse error:  syntax error, unexpected end of file in /home/oleg/www/clanfnr.dev/web/index.php on line 13, referer: http://clanfnr.dev/
[Thu Sep 01 20:52:28.432253 2016] [core:alert] [pid 5097] [client 127.0.0.1:40954] /home/oleg/www/clanfnr.dev/web/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration, referer: http://clanfnr.dev/
[Thu Sep 01 20:52:30.555288 2016] [core:alert] [pid 5098] [client 127.0.0.1:40956] /home/oleg/www/clanfnr.dev/web/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration, referer: http://clanfnr.dev/
[Thu Sep 01 20:56:08.976464 2016] [core:alert] [pid 5376] [client 127.0.0.1:40984] /home/oleg/www/clanfnr.dev/web/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration, referer: http://clanfnr.dev/
[Thu Sep 01 20:56:09.909174 2016] [core:alert] [pid 5377] [client 127.0.0.1:40986] /home/oleg/www/clanfnr.dev/web/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration, referer: http://clanfnr.dev/
[Thu Sep 01 20:56:43.241908 2016] [core:alert] [pid 5445] [client 127.0.0.1:40988] /home/oleg/www/clanfnr.dev/web/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration, referer: http://clanfnr.dev/
[Thu Sep 01 20:56:44.387766 2016] [core:alert] [pid 5446] [client 127.0.0.1:40990] /home/oleg/www/clanfnr.dev/web/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration, referer: http://clanfnr.dev/
[Thu Sep 01 20:56:45.134243 2016] [core:alert] [pid 5447] [client 127.0.0.1:40992] /home/oleg/www/clanfnr.dev/web/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration, referer: http://clanfnr.dev/
[Thu Sep 01 20:56:52.300585 2016] [core:alert] [pid 5502] [client 127.0.0.1:40994] /home/oleg/www/clanfnr.dev/web/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration, referer: http://clanfnr.dev/
[Thu Sep 01 20:58:35.605973 2016] [core:alert] [pid 5659] [client 127.0.0.1:41024] /home/oleg/www/clanfnr.dev/web/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration, referer: http://clanfnr.dev/
[Thu Sep 01 21:00:06.840586 2016] [core:alert] [pid 5660] [client 127.0.0.1:41026] /home/oleg/www/clanfnr.dev/web/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration, referer: http://clanfnr.dev/
[Thu Sep 01 21:02:33.484767 2016] [core:alert] [pid 5817] [client 127.0.0.1:41058] /home/oleg/www/clanfnr.dev/web/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration, referer: http://clanfnr.dev/
[Thu Sep 01 21:05:48.218171 2016] [core:alert] [pid 5918] [client 127.0.0.1:41068] /home/oleg/www/clanfnr.dev/web/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration, referer: http://clanfnr.dev/
[Thu Sep 01 21:05:49.307914 2016] [core:alert] [pid 5919] [client 127.0.0.1:41070] /home/oleg/www/clanfnr.dev/web/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration, referer: http://clanfnr.dev/
[Thu Sep 01 21:06:15.098679 2016] [core:alert] [pid 5980] [client 127.0.0.1:41074] /home/oleg/www/clanfnr.dev/web/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration, referer: http://clanfnr.dev/
[Thu Sep 01 21:07:16.398588 2016] [core:alert] [pid 6072] [client 127.0.0.1:41080] /home/oleg/www/clanfnr.dev/web/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration, referer: http://clanfnr.dev/
[Thu Sep 01 21:07:17.258237 2016] [core:alert] [pid 6073] [client 127.0.0.1:41082] /home/oleg/www/clanfnr.dev/web/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration, referer: http://clanfnr.dev/
